코드,시군구,위도,경도,코드종류
11110,종로구,37.587111,126.969069,B
11140,중구,37.567732,126.979171,B
11170,용산구,37.549171,126.978938,B
11200,성동구,37.569332,127.025349,B
11215,광진구,37.561882,127.084745,B
11230,동대문구,37.575204,127.026023,B
11260,중랑구,37.58442,127.086487,B
11290,성북구,37.594567,126.997514,B
11305,강북구,37.621298,127.024902,B
11320,도봉구,37.652731,127.02871,B
11350,노원구,37.622192,127.05865,B
11380,은평구,37.585121,126.89426,B
11410,서대문구,37.565192,126.964529,B
11440,마포구,37.555483,126.955998,B
11470,양천구,37.521636,126.857957,B
11500,강서구,37.551366,126.8713,B
11530,구로구,37.509454,126.880425,B
11545,금천구,37.477598,126.888291,B
11560,영등포구,37.513448,126.907724,B
11590,동작구,37.510162,126.940418,B
11620,관악구,37.482717,126.949951,B
11650,서초구,37.484677,126.989955,B
11680,강남구,37.500335,127.037596,B
11710,송파구,37.506967,127.083673,B
11740,강동구,37.549276,127.147555,B
26140,서구,35.110248,129.022648,B
26170,동구,35.119702,129.036573,B
26200,영도구,35.092568,129.038323,B
26230,부산진구,35.172673,129.072471,B
26260,동래구,35.20597,129.102894,B
26290,남구,35.13405,129.090271,B
26320,북구,35.259426,129.016263,B
26350,해운대구,35.227613,129.152212,B
26380,사하구,35.100594,128.993574,B
26410,금정구,35.295425,129.110614,B
26470,연제구,35.186834,129.072187,B
26500,수영구,35.174566,129.106313,B
26530,사상구,35.179898,128.980448,B
26710,기장군,35.246907,129.215095,B
27260,수성구,35.859594,128.631657,B
27290,달서구,35.843834,128.554831,B
27710,달성군,35.803434,128.500581,B
28177,미추홀구,37.463384,126.650886,B
28185,연수구,37.424062,126.652109,B
28200,남동구,37.450744,126.710499,B
28237,부평구,37.493656,126.724134,B
28245,계양구,37.529442,126.707198,B
28710,강화군,37.745202,126.481866,B
28720,옹진군,37.534963,126.428291,B
29200,광산구,35.138106,126.79695,B
30200,유성구,36.300198,127.318744,B
30230,대덕구,36.352641,127.414165,B
31710,울주군,35.431181,129.329976,B
36110,,36.494662,127.308345,B
41111,수원시 장안구,37.309009,126.995284,B
41113,수원시 권선구,37.256272,127.013348,B
41115,수원시 팔달구,37.280261,127.016856,B
41117,수원시 영통구,37.266125,127.047474,B
41131,성남시 수정구,37.443609,127.144521,B
41133,성남시 중원구,37.433173,127.136241,B
41135,성남시 분당구,37.369612,127.143218,B
41150,의정부시,37.739252,127.046582,B
41171,안양시 만안구,37.394613,126.921797,B
41173,안양시 동안구,37.40422,126.946599,B
41190,부천시,37.493493,126.789999,B
41210,광명시,37.478468,126.855618,B
41220,평택시,37.067689,127.054439,B
41250,동두천시,37.881,127.059578,B
41271,안산시 상록구,37.312282,126.866832,B
41273,안산시 단원구,37.320881,126.831077,B
41281,고양시 덕양구,37.659397,126.831641,B
41285,고양시 일산동구,37.677984,126.812838,B
41287,고양시 일산서구,37.685865,126.771783,B
41290,과천시,37.440388,126.992698,B
